EXPERIMENT,gf,mf,σ,T,foram,grazing pressure on them,SYSTEM,%foram,,min %,max %
plausible,40,55,0.5,20,2.00E-05,Yes = 1,OLIGO,1.60E-02,,0.001,0.02
plausible,25,30,0.5,20,2.00E-06,Yes = 1,OLIGO,1.10E-03,,,
plausible,30,50,0.5,20,2.00E-06,Yes = 1,MESO,1.10E-03,,,
plausible,30,50,0.5,20,3.00E-06,Yes = 1,EUTRO,1.10E-03,,,
plausible,55,40,0.5,30,3.00E-05,Yes = 1,OLIGO,1.10E-02,,,
plausible,45,15,0.5,30,4.00E-06,Yes = 1,OLIGO,1.50E-03,,,
plausible,55,30,0.5,30,7.00E-05,Yes = 1,MESO,1.80E-02,,,
,,,,,,,,,,,
low_biomass,40,5,0.5,30,7.00E-06,Yes = 1,OLIGO,2.70E-03,,,
low_biomass,40,65,0.5,20,2.00E-05,Yes = 1,MESO,8.40E-03,,,
low_biomass,40,65,0.5,20,2.00E-05,Yes = 1,EUTRO,7.50E-03,,,
,,,,,,,,,,,
other,0,0,0.5,10,DEAD,Yes = 1,MESO,DEAD,,,
other,10,0,0.5,10,DEAD,Yes = 1,MESO,DEAD,,,
other,10,40,0.5,10,DEAD,Yes = 1,MESO,DEAD,,,
other,10,60,0.5,10,DEAD,Yes = 1,MESO,DEAD,,,
other,20,60,0.5,10,DEAD,Yes = 1,MESO,DEAD,,,
other,30,60,0.5,10,DEAD,Yes = 1,MESO,DEAD,,,
other,40,60,0.5,10,DEAD,Yes = 1,MESO,DEAD,,,
other,60,60,0.5,10,DEAD,Yes = 1,MESO,DEAD,,,
,,,,,,,,,,,
,,,,,,,,,,,
other,0,0,0.5,10,DEAD,Yes = 1,EUTRO,DEAD,,,
other,10,0,0.5,10,DEAD,Yes = 1,EUTRO,DEAD,,,
other,10,40,0.5,10,DEAD,Yes = 1,EUTRO,DEAD,,,
other,10,60,0.5,10,DEAD,Yes = 1,EUTRO,DEAD,,,
other,20,60,0.5,10,DEAD,Yes = 1,EUTRO,DEAD,,,
other,30,60,0.5,10,DEAD,Yes = 1,EUTRO,DEAD,,,
other,40,60,0.5,10,DEAD,Yes = 1,EUTRO,DEAD,,,
other,60,60,0.5,10,DEAD,Yes = 1,EUTRO,DEAD,,,
,,,,,,,,,,,
,,,,,,,,,,,
other,0,0,0.5,20,5.00E-03,NO,OLIGO,3.50E+00,,,
other,10,0,0.5,20,DEAD,NO,OLIGO,DEAD,,,
other,10,10,0.5,20,6.00E-04,NO,OLIGO,3.80E-01,,,
other,10,10,0.5,20,6.00E-04,Yes = 1,OLIGO,3.80E-01,,,
other,20,10,0.5,20,DEAD,Yes = 1,OLIGO,DEAD,,,
other,20,20,0.5,20,3.00E-08,Yes = 1,OLIGO,2.00E-05,,,
other,20,25,0.5,20,3.00E-04,Yes = 1,OLIGO,1.70E-01,,,
other,20,50,0.5,20,3.00E-02,Yes = 1,OLIGO,1.60E+01,,,
other,20,40,0.5,20,1.00E-02,Yes = 1,OLIGO,9.50E+00,,,
other,20,35,0.5,20,1.00E-02,Yes = 1,OLIGO,6.40E+00,,,
other,20,24,0.5,20,5.00E-05,Yes = 1,OLIGO,3.30E-02,,,
other,30,40,0.5,20,9.00E-05,Yes = 1,OLIGO,5.70E-02,,,
other,25,32,0.5,20,7.00E-05,Yes = 1,OLIGO,4.40E-02,,,
other,30,50,0.5,20,1.00E-02,Yes = 1,OLIGO,7.80E+00,,,
other,25,50,0.5,20,2.00E-02,Yes = 1,OLIGO,1.30E+01,,,
other,25,40,0.5,20,1.00E-02,Yes = 1,OLIGO,6.40E+00,,,
other,25,45,0.5,20,1.00E-02,Yes = 1,OLIGO,8.00E+00,,,
other,35,30,0.5,20,DEAD,Yes = 1,OLIGO,DEAD,,,
other,35,40,0.5,20,DEAD,Yes = 1,OLIGO,DEAD,,,
other,35,50,0.5,20,2.00E-03,Yes = 1,OLIGO,1.20E+00,,,
other,35,60,0.5,20,2.00E-02,Yes = 1,OLIGO,1.00E+01,,,
other,35,45,0.5,20,4.00E-07,Yes = 1,OLIGO,2.90E-04,,,
other,40,0,0.5,20,DEAD,Yes = 1,OLIGO,DEAD,,,
other,40,5,0.5,20,DEAD,Yes = 1,OLIGO,DEAD,,,
other,20,38,0.5,20,1.00E-02,Yes = 1,OLIGO,7.50E+00,,,
other,30,52,0.5,20,1.00E-02,Yes = 1,OLIGO,8.50E+00,,,
other,40,50,0.5,20,DEAD,Yes = 1,OLIGO,DEAD,,,
other,40,60,0.5,20,7.00E-03,Yes = 1,OLIGO,4.50E+00,,,
other,40,65,0.5,20,2.00E-02,Yes = 1,OLIGO,9.80E+00,,,
,,,,,,,,,,,
other,0,0,0.5,20,DEAD,NO,MESO,DEAD,,,
other,10,0,0.5,20,DEAD,NO,MESO,DEAD,,,
other,10,10,0.5,20,DEAD,NO,MESO,DEAD,,,
other,10,10,0.5,20,DEAD,Yes = 1,MESO,DEAD,,,
other,20,10,0.5,20,DEAD,Yes = 1,MESO,DEAD,,,
other,20,20,0.5,20,DEAD,Yes = 1,MESO,DEAD,,,
other,20,25,0.5,20,DEAD,Yes = 1,MESO,DEAD,,,
other,20,50,0.5,20,3.00E-02,Yes = 1,MESO,1.60E+01,,,
other,20,40,0.5,20,8.00E-04,Yes = 1,MESO,3.70E-01,,,
other,20,35,0.5,20,3.00E-07,Yes = 1,MESO,1.50E-04,,,
other,30,40,0.5,20,DEAD,Yes = 1,MESO,DEAD,,,
other,25,50,0.5,20,2.00E-02,Yes = 1,MESO,9.60E+00,,,
other,25,40,0.5,20,2.00E-08,Yes = 1,MESO,8.70E-06,,,
other,25,30,0.5,20,DEAD,Yes = 1,MESO,DEAD,,,
other,35,30,0.5,20,DEAD,Yes = 1,MESO,DEAD,,,
other,35,40,0.5,20,DEAD,Yes = 1,MESO,DEAD,,,
other,35,50,0.5,20,DEAD,Yes = 1,MESO,DEAD,,,
other,35,60,0.5,20,4.00E-04,Yes = 1,MESO,2.00E-01,,,
other,35,45,0.5,20,DEAD,Yes = 1,MESO,DEAD,,,
other,40,0,0.5,20,DEAD,Yes = 1,MESO,DEAD,,,
other,40,5,0.5,20,DEAD,Yes = 1,MESO,DEAD,,,
other,20,24,0.5,20,DEAD,Yes = 1,MESO,DEAD,,,
other,25,32,0.5,20,DEAD,Yes = 1,MESO,DEAD,,,
other,40,50,0.5,20,DEAD,Yes = 1,MESO,DEAD,,,
other,40,60,0.5,20,DEAD,Yes = 1,MESO,DEAD,,,
other,40,55,0.5,20,DEAD,Yes = 1,MESO,DEAD,,,
other,25,45,0.5,20,6.00E-05,Yes = 1,MESO,3.20E-02,,,
other,20,38,0.5,20,5.00E-05,Yes = 1,MESO,2.60E-02,,,
other,30,52,0.5,20,7.00E-05,Yes = 1,MESO,3.60E-02,,,
,,,,,,,,,,,
other,0,0,0.5,20,DEAD,NO,EUTRO,DEAD,,,
other,10,0,0.5,20,DEAD,NO,EUTRO,DEAD,,,
other,10,10,0.5,20,DEAD,NO,EUTRO,DEAD,,,
other,10,10,0.5,20,DEAD,Yes = 1,EUTRO,DEAD,,,
other,20,10,0.5,20,DEAD,Yes = 1,EUTRO,DEAD,,,
other,20,20,0.5,20,DEAD,Yes = 1,EUTRO,DEAD,,,
other,20,25,0.5,20,DEAD,Yes = 1,EUTRO,DEAD,,,
other,20,50,0.5,20,3.00E-02,Yes = 1,EUTRO,1.10E+01,,,
other,20,40,0.5,20,2.00E-03,Yes = 1,EUTRO,7.30E-01,,,
other,20,35,0.5,20,4.00E-07,Yes = 1,EUTRO,1.70E-04,,,
other,30,40,0.5,20,DEAD,Yes = 1,EUTRO,DEAD,,,
other,25,50,0.5,20,1.00E-02,Yes = 1,EUTRO,5.60E+00,,,
other,25,40,0.5,20,DEAD,Yes = 1,EUTRO,DEAD,,,
other,25,30,0.5,20,DEAD,Yes = 1,EUTRO,DEAD,,,
other,35,30,0.5,20,DEAD,Yes = 1,EUTRO,DEAD,,,
other,35,40,0.5,20,DEAD,Yes = 1,EUTRO,DEAD,,,
other,35,50,0.5,20,DEAD,Yes = 1,EUTRO,DEAD,,,
other,35,60,0.5,20,6.00E-04,Yes = 1,EUTRO,2.40E-01,,,
other,35,45,0.5,20,DEAD,Yes = 1,EUTRO,DEAD,,,
other,40,0,0.5,20,DEAD,Yes = 1,EUTRO,DEAD,,,
other,40,5,0.5,20,DEAD,Yes = 1,EUTRO,DEAD,,,
other,20,24,0.5,20,DEAD,Yes = 1,EUTRO,DEAD,,,
other,25,32,0.5,20,DEAD,Yes = 1,EUTRO,DEAD,,,
other,40,50,0.5,20,DEAD,Yes = 1,EUTRO,DEAD,,,
other,40,60,0.5,20,DEAD,Yes = 1,EUTRO,DEAD,,,
other,25,45,0.5,20,9.00E-05,Yes = 1,EUTRO,3.80E-02,,,
other,20,38,0.5,20,8.00E-05,Yes = 1,EUTRO,3.40E-02,,,
other,30,52,0.5,20,1.00E-04,Yes = 1,EUTRO,4.10E-02,,,
,,,,,,,,,,,
other,0,0,0.5,30,3.00E-02,Yes = 1,OLIGO,1.00E+01,,,
other,20,0,0.5,30,2.00E-02,Yes = 1,OLIGO,9.20E+00,,,
other,40,0,0.5,30,7.00E-08,Yes = 1,OLIGO,2.80E-05,,,
other,50,0,0.5,30,DEAD,Yes = 1,OLIGO,DEAD,,,
other,50,10,0.5,30,DEAD,Yes = 1,OLIGO,DEAD,,,
other,50,5,0.5,30,DEAD,Yes = 1,OLIGO,DEAD,,,
other,45,0,0.5,30,DEAD,Yes = 1,OLIGO,DEAD,,,
other,45,5,0.5,30,DEAD,Yes = 1,OLIGO,DEAD,,,
other,50,20,0.5,30,DEAD,Yes = 1,OLIGO,DEAD,,,
other,55,30,0.5,30,DEAD,Yes = 1,OLIGO,DEAD,,,
other,55,20,0.5,30,DEAD,Yes = 1,OLIGO,DEAD,,,
other,55,15,0.5,30,DEAD,Yes = 1,OLIGO,DEAD,,,
other,60,20,0.5,30,DEAD,Yes = 1,OLIGO,DEAD,,,
other,60,30,0.5,30,DEAD,Yes = 1,OLIGO,DEAD,,,
other,60,40,0.5,30,DEAD,Yes = 1,OLIGO,DEAD,,,
other,20,24,0.5,30,2.00E-02,Yes = 1,OLIGO,9.60E+00,,,
other,25,32,0.5,30,2.00E-02,Yes = 1,OLIGO,9.40E+00,,,
other,20,38,0.5,30,2.00E-02,Yes = 1,OLIGO,9.80E+00,,,
other,45,16,0.5,30,DEAD,Yes = 1,OLIGO,DEAD,,,
other,50,2,0.5,30,DEAD,Yes = 1,OLIGO,DEAD,,,
other,60,45,0.5,30,DEAD,Yes = 1,OLIGO,DEAD,,,
other,50,30,0.5,30,7.00E-05,Yes = 1,OLIGO,2.60E-02,,,
,,,,,,,,,,,
other,0,0,0.5,30,2.00E-02,Yes = 1,MESO,6.50E+00,,,
other,20,0,0.5,30,2.00E-02,Yes = 1,MESO,5.90E+00,,,
other,40,0,0.5,30,1.00E-02,Yes = 1,MESO,2.60E+00,,,
other,50,0,0.5,30,DEAD,Yes = 1,MESO,DEAD,,,
other,50,10,0.5,30,DEAD,Yes = 1,MESO,DEAD,,,
other,50,5,0.5,30,DEAD,Yes = 1,MESO,DEAD,,,
other,45,0,0.5,30,1.00E-07,Yes = 1,MESO,2.80E-05,,,
other,45,5,0.5,30,1.00E-03,Yes = 1,MESO,2.60E-01,,,
other,45,15,0.5,30,1.00E-02,Yes = 1,MESO,3.00E+00,,,
other,50,20,0.5,30,5.00E-03,Yes = 1,MESO,1.30E+00,,,
other,50,30,0.5,30,1.00E-02,Yes = 1,MESO,3.30E+00,,,
other,55,40,0.5,30,1.00E-02,Yes = 1,MESO,3.00E+00,,,
other,55,20,0.5,30,DEAD,Yes = 1,MESO,DEAD,,,
other,55,15,0.5,30,DEAD,Yes = 1,MESO,DEAD,,,
other,60,20,0.5,30,DEAD,Yes = 1,MESO,DEAD,,,
other,60,30,0.5,30,DEAD,Yes = 1,MESO,DEAD,,,
other,60,40,0.5,30,1.00E-07,Yes = 1,MESO,3.40E-05,,,
other,40,5,0.5,30,1.00E-02,Yes = 1,MESO,3.50E+00,,,
other,20,24,0.5,30,2.00E-02,Yes = 1,MESO,6.10E+00,,,
other,25,32,0.5,30,2.00E-02,Yes = 1,MESO,6.00E+00,,,
other,20,38,0.5,30,2.00E-02,Yes = 1,MESO,6.20E+00,,,
other,45,16,0.5,30,1.00E-02,Yes = 1,MESO,3.10E+00,,,
other,50,2,0.5,30,DEAD,Yes = 1,MESO,DEAD,,,
other,60,45,0.5,30,1.00E-03,Yes = 1,MESO,3.90E-01,,,
,,,,,,,,,,,
,,,,,,,,,,,
other,0,0,0.5,30,2.00E-02,Yes = 1,EUTRO,4.30E+00,,,
other,20,0,0.5,30,2.00E-02,Yes = 1,EUTRO,3.70E+00,,,
other,40,0,0.5,30,1.00E-02,Yes = 1,EUTRO,2.10E+00,,,
other,50,0,0.5,30,3.00E-07,Yes = 1,EUTRO,5.60E-05,,,
other,50,10,0.5,30,5.00E-03,Yes = 1,EUTRO,1.10E+00,,,
other,50,5,0.5,30,2.00E-03,Yes = 1,EUTRO,3.30E-01,,,
other,45,0,0.5,30,7.00E-03,Yes = 1,EUTRO,1.40E+00,,,
other,45,5,0.5,30,8.00E-03,Yes = 1,EUTRO,1.80E+00,,,
other,45,15,0.5,30,1.00E-02,Yes = 1,EUTRO,2.30E+00,,,
other,50,20,0.5,30,9.00E-03,Yes = 1,EUTRO,1.80E+00,,,
other,50,30,0.5,30,1.00E-02,Yes = 1,EUTRO,2.40E+00,,,
other,55,30,0.5,30,7.00E-03,Yes = 1,EUTRO,1.50E+00,,,
other,55,40,0.5,30,1.00E-02,Yes = 1,EUTRO,2.10E+00,,,
other,55,20,0.5,30,2.00E-03,Yes = 1,EUTRO,4.50E-01,,,
other,55,15,0.5,30,5.00E-07,Yes = 1,EUTRO,1.00E-04,,,
other,60,20,0.5,30,DEAD,Yes = 1,EUTRO,DEAD,,,
other,60,30,0.5,30,9.00E-07,Yes = 1,EUTRO,1.80E-04,,,
other,60,40,0.5,30,6.00E-03,Yes = 1,EUTRO,1.20E+00,,,
other,40,5,0.5,30,1.00E-02,Yes = 1,EUTRO,2.20E+00,,,
other,20,24,0.5,30,2.00E-02,Yes = 1,EUTRO,4.10E+00,,,
other,25,32,0.5,30,2.00E-02,Yes = 1,EUTRO,4.00E+00,,,
other,20,38,0.5,30,2.00E-02,Yes = 1,EUTRO,4.20E+00,,,
other,45,16,0.5,30,1.00E-02,Yes = 1,EUTRO,2.30E+00,,,
other,60,45,0.5,30,7.00E-03,Yes = 1,EUTRO,1.60E+00,,,
