EXPERIMENT,gf,mf,?,T,foram,grazing pressure on them,SYSTEM,%foram,,min,max,Here we present the model output for the herbivorous spinose with ?= 0.5 and predator- prey optimum prey length equals to 10:1 
plausible,35,25,0.5,10,7.16E-06,Yes = 1,MESO,7.04E-03,stars,0.001,0.02,
plausible,40,35,0.5,10,1.73E-05,Yes = 1,MESO,1.70E-02,,,,
plausible,35,20,0.5,10,2.02E-06,Yes = 1,EUTRO,0.002,,,,
plausible,40,31,,10,1.78E-05,,eutro,0.016035992,,,,
plausible,20,26,0.5,20,8.04E-06,,oligo,5.30E-03,,,,
plausible,30,41,0.5,20,4.25E-06,,oligo,2.81E-03,,,,
plausible,40,45,0.5,20,5.74E-06,Yes = 1,MESO,2.89E-03,,,,
plausible,40,46,0.5,20,3.44E-05,,EUTRO,1.48E-02,,,,
plausible,40,27,0.5,30,3.09E-05,,MESO,8.40E-03,,,,
,,,,,,,,,,,,
low_biomass,40,57,0.5,20,1.48E-05,,oligo,9.80E-03,triangle,,,
low_biomass,20,11,0.5,20,1.39E-05,,MESO,7.00E-03,,,,
low_biomass,50,46,0.5,30,3.42E-05,,MESO,9.22E-03,,,,
low_biomass,70,48,0.5,30,4.49E-05,,EUTRO,9.47E-03,,,,
low_biomass,60,14,0.5,30,2.89E-05,,EUTRO,7.00E-03,,,,
,,,,,,,,,,,,
other,0,0,0.5,10,6.36E-03,Yes = 1,MESO,6.34,cyrcle,,,
other,10,0,0.5,10,5.76E-03,Yes = 1,MESO,5.779,,,,
other,20,0,0.5,10,2.56E-03,Yes = 1,MESO,2.518,,,,
other,40,0,0.5,10,DEAD,Yes = 1,MESO,DEAD,,,,
other,35,0,0.5,10,DEAD,Yes = 1,MESO,DEAD,,,,
other,35,10,0.5,10,DEAD,Yes = 1,MESO,DEAD,,,,
other,35,40,0.5,10,7.22E-03,Yes = 1,MESO,7.129,,,,
other,35,30,0.5,10,5.77E-03,Yes = 1,MESO,5.65,,,,
other,35,20,0.5,10,DEAD,Yes = 1,MESO,DEAD,,,,
other,40,25,0.5,10,DEAD,Yes = 1,MESO,DEAD,,,,
other,40,30,0.5,10,DEAD,Yes = 1,MESO,DEAD,,,,
other,50,50,0.5,10,DEAD,Yes = 1,MESO,DEAD,,,,
other,50,55,0.5,10,1.03E-04,Yes = 1,MESO,0.101,,,,
other,40,32,,10,,,meso,0.00026793,,,,
,,,,,,,,,,,,
other,0,0,0.5,10,1.15E-02,Yes = 1,EUTRO,10.57,,,,
other,10,0,0.5,10,1.23E-02,Yes = 1,EUTRO,11.254,,,,
other,20,0,0.5,10,1.33E-02,Yes = 1,EUTRO,12.072,,,,
other,40,0,0.5,10,DEAD,Yes = 1,EUTRO,DEAD,,,,
other,35,0,0.5,10,DEAD,Yes = 1,EUTRO,DEAD,,,,
other,35,10,0.5,10,DEAD,Yes = 1,EUTRO,DEAD,,,,
other,35,40,0.5,10,1.70E-02,Yes = 1,EUTRO,14.873,,,,
other,35,30,0.5,10,1.65E-02,Yes = 1,EUTRO,14.519,,,,
other,35,25,0.5,10,1.03E-02,Yes = 1,EUTRO,9.167,,,,
other,40,25,0.5,10,DEAD,Yes = 1,EUTRO,DEAD,,,,
other,40,35,0.5,10,1.25E-02,Yes = 1,EUTRO,10.993,,,,
other,50,55,0.5,10,1.79E-02,Yes = 1,EUTRO,15.292,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
other,0,0,0.5,20,3.15E-03,Yes = 1,OLIGO,2.09E+00,,,,
other,20,0,0.5,20,DEAD,Yes = 1,OLIGO,DEAD,,,,
other,10,0,0.5,20,DEAD,Yes = 1,OLIGO,DEAD,,,,
other,15,0,0.5,20,DEAD,Yes = 1,OLIGO,DEAD,,,,
other,20,10,0.5,20,DEAD,Yes = 1,OLIGO,DEAD,,,,
other,20,20,0.5,20,DEAD,Yes = 1,OLIGO,DEAD,,,,
other,30,30,0.5,20,DEAD,Yes = 1,OLIGO,DEAD,,,,
other,30,35,0.5,20,DEAD,Yes = 1,OLIGO,DEAD,,,,
other,40,40,0.5,20,DEAD,Yes = 1,OLIGO,DEAD,,,,
other,40,50,0.5,20,DEAD,Yes = 1,OLIGO,DEAD,,,,
other,40,55,0.5,20,3.44E-07,Yes = 1,OLIGO,2.27E-04,,,,
other,50,50,0.5,20,DEAD,Yes = 1,OLIGO,DEAD,,,,
other,50,60,0.5,20,DEAD,Yes = 1,OLIGO,DEAD,,,,
other,30,32,0.5,20,DEAD,,oligo,DEAD,,,,
other,40,46,0.5,20,DEAD,,oligo,DEAD,,,,
other,15,5,0.5,20,DEAD,,oligo,DEAD,,,,
,,,,,,,,,,,,
other,0,0,0.5,20,1.19E-02,Yes = 1,MESO,6.18E+00,,,,
other,20,0,0.5,20,DEAD,Yes = 1,MESO,DEAD,,,,
other,10,0,0.5,20,6.67E-03,Yes = 1,MESO,3.35E+00,,,,
other,15,0,0.5,20,1.73E-07,Yes = 1,MESO,8.73E-05,,,,
other,20,20,0.5,20,1.16E-02,Yes = 1,MESO,5.81E+00,,,,
other,20,25,0.5,20,1.55E-02,Yes = 1,MESO,7.90E+00,,,,
other,30,30,0.5,20,3.31E-08,Yes = 1,MESO,1.67E-05,,,,
other,30,35,0.5,20,1.11E-02,Yes = 1,MESO,5.52E+00,,,,
other,30,40,0.5,20,1.50E-02,Yes = 1,MESO,7.56E+00,,,,
other,40,40,0.5,20,DEAD,Yes = 1,MESO,DEAD,,,,
other,40,50,0.5,20,6.85E-03,Yes = 1,MESO,3.40E+00,,,,
other,40,55,0.5,20,1.67E-02,Yes = 1,MESO,8.27E+00,,,,
other,50,50,0.5,20,DEAD,Yes = 1,MESO,DEAD,,,,
other,50,60,0.5,20,DEAD,Yes = 1,MESO,DEAD,,,,
other,20,26,0.5,20,0.015103588,,MESO,7.71E+00,,,,
other,30,41,0.5,20,0.017045683,,MESO,8.60E+00,,,,
other,40,56,0.5,20,0.017152879,,MESO,8.50E+00,,,,
other,30,32,0.5,20,0.003497624,,MESO,1.80E+00,,,,
other,30,42,0.5,20,0.017962916,,MESO,9.00E+00,,,,
other,20,27,0.5,20,0.014605617,,MESO,7.50E+00,,,,
other,40,57,0.5,20,0.018698378,,MESO,9.30E+00,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
other,0,0,0.5,20,1.93E-02,Yes = 1,EUTRO,8.47E+00,,,,
other,20,0,0.5,20,DEAD,Yes = 1,EUTRO,DEAD,,,,
other,10,0,0.5,20,4.39E-03,Yes = 1,EUTRO,1.90E+00,,,,
other,15,0,0.5,20,1.63E-07,Yes = 1,EUTRO,7.02E-05,,,,
other,20,20,0.5,20,7.28E-03,Yes = 1,EUTRO,3.13E+00,,,,
other,20,25,0.5,20,1.16E-02,Yes = 1,EUTRO,5.01E+00,,,,
other,30,30,0.5,20,3.21E-08,Yes = 1,EUTRO,1.38E-05,,,,
other,30,35,0.5,20,7.76E-03,Yes = 1,EUTRO,3.33E+00,,,,
other,30,40,0.5,20,1.35E-02,Yes = 1,EUTRO,5.74E+00,,,,
other,40,40,0.5,20,DEAD,Yes = 1,EUTRO,DEAD,,,,
other,40,50,0.5,20,5.28E-03,Yes = 1,EUTRO,2.27E+00,,,,
other,40,55,0.5,20,1.55E-02,Yes = 1,EUTRO,6.52E+00,,,,
other,50,50,0.5,20,DEAD,Yes = 1,EUTRO,DEAD,,,,
other,50,60,0.5,20,DEAD,Yes = 1,EUTRO,DEAD,,,,
other,20,26,0.5,20,0.013719386,,EUTRO,5.90E+00,,,,
other,30,31,0.5,20,0.013479894,,EUTRO,5.80E+00,,,,
other,40,56,0.5,20,0.017210069,,EUTRO,7.30E+00,,,,
other,30,32,0.5,20,2.06E-03,,EUTRO,9.00E-01,,,,
other,30,42,0.5,20,0.015429815,,EUTRO,6.60E+00,,,,
other,20,27,0.5,20,1.67E-02,,EUTRO,7.20E+00,,,,
other,40,57,0.5,20,0.017262017,,EUTRO,7.30E+00,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
other,10,0,0.5,30,DEAD,Yes = 1,OLIGO,DEAD,,,,
other,10,60,0.5,30,DEAD,Yes = 1,OLIGO,DEAD,,,,
other,20,0,0.5,30,DEAD,Yes = 1,OLIGO,DEAD,,,,
other,20,60,0.5,30,DEAD,Yes = 1,OLIGO,DEAD,,,,
other,30,0,0.5,30,DEAD,Yes = 1,OLIGO,DEAD,,,,
other,30,5,0.5,30,DEAD,Yes = 1,OLIGO,DEAD,,,,
other,40,10,0.5,30,DEAD,Yes = 1,OLIGO,DEAD,,,,
other,40,25,0.5,30,DEAD,Yes = 1,OLIGO,DEAD,,,,
other,50,10,0.5,30,DEAD,Yes = 1,OLIGO,DEAD,,,,
other,50,0,0.5,30,DEAD,Yes = 1,OLIGO,DEAD,,,,
other,50,25,0.5,30,DEAD,Yes = 1,OLIGO,DEAD,,,,
other,40,27,0.5,30,DEAD,,OLIGO,DEAD,,,,
other,30,88,0.5,30,DEAD,,OLIGO,DEAD,,,,
other,70,0,0.5,30,DEAD,,OLIGO,DEAD,,,,
other,80,0,0.5,30,DEAD,,OLIGO,DEAD,,,,
other,70,45,0.5,30,DEAD,,OLIGO,DEAD,,,,
other,70,48,0.5,30,DEAD,,OLIGO,DEAD,,,,
other,60,0,0.5,30,DEAD,,OLIGO,DEAD,,,,
other,60,20,0.5,30,DEAD,,OLIGO,DEAD,,,,
other,60,10,0.5,30,DEAD,,OLIGO,DEAD,,,,
other,60,15,0.5,30,DEAD,,OLIGO,DEAD,,,,
other,50,25,0.5,30,DEAD,,OLIGO,DEAD,,,,
other,50,50,0.5,30,DEAD,,OLIGO,DEAD,,,,
other,50,48,0.5,30,DEAD,,OLIGO,DEAD,,,,
,,,,,,,,,,,,
other,10,0,0.5,30,7.40E-03,Yes = 1,MESO,2.03,,,,
other,10,60,0.5,30,1.69E-02,Yes = 1,MESO,4.7,,,,
other,20,0,0.5,30,3.18E-03,Yes = 1,MESO,0.86,,,,
other,20,60,0.5,30,1.52E-02,Yes = 1,MESO,4.22,,,,
other,30,0,0.5,30,DEAD,Yes = 1,MESO,DEAD,,,,
other,30,5,0.5,30,2.01E-06,Yes = 1,MESO,DEAD,,,,
other,40,10,0.5,30,DEAD,Yes = 1,MESO,DEAD,,,,
other,40,25,0.5,30,9.16E-07,Yes = 1,MESO,0,,,,
other,50,10,0.5,30,DEAD,Yes = 1,MESO,DEAD,,,,
other,50,0,0.5,30,DEAD,Yes = 1,MESO,DEAD,,,,
other,50,25,0.5,30,,Yes = 1,MESO,DEAD,,,,
other,70,0,0.5,30,DEAD,,MESO,DEAD,,,,
other,80,0,0.5,30,DEAD,,MESO,DEAD,,,,
other,70,45,0.5,30,DEAD,,MESO,DEAD,,,,
other,70,48,0.5,30,DEAD,,MESO,DEAD,,,,
other,60,0,0.5,30,DEAD,,MESO,DEAD,,,,
other,60,20,0.5,30,DEAD,,MESO,DEAD,,,,
other,60,10,0.5,30,DEAD,,MESO,DEAD,,,,
other,60,15,0.5,30,DEAD,,MESO,DEAD,,,,
other,60,14,0.5,30,DEAD,,MESO,DEAD,,,,
other,50,25,0.5,30,DEAD,,MESO,DEAD,,,,
,,,,,,,,,,,,
other,10,0,0.5,30,1.65E-02,Yes = 1,EUTRO,3.73,,,,
other,10,60,0.5,30,2.39E-02,Yes = 1,EUTRO,5.58,,,,
other,20,0,0.5,30,1.51E-02,Yes = 1,EUTRO,3.45,,,,
other,20,60,0.5,30,2.39E-02,Yes = 1,EUTRO,5.43,,,,
other,30,0,0.5,30,1.38E-02,Yes = 1,EUTRO,3.11,,,,
other,30,5,0.5,30,1.47E-02,Yes = 1,EUTRO,3.31,,,,
other,40,10,0.5,30,1.18E-02,Yes = 1,EUTRO,2.61,,,,
other,40,25,0.5,30,1.45E-02,Yes = 1,EUTRO,3.24,,,,
other,50,10,0.5,30,9.49E-03,Yes = 1,EUTRO,2.04,,,,
other,50,0,0.5,30,7.41E-03,Yes = 1,EUTRO,1.58,,,,
other,50,25,0.5,30,,Yes = 1,EUTRO,2,,,,
other,40,27,0.5,30,0.014948688,,EUTRO,3.5,,,,
other,70,0,0.5,30,DEAD,,EUTRO,DEAD,,,,
other,70,50,0.5,30,0.001272897,,EUTRO,0.27,,,,
other,60,0,0.5,30,DEAD,,EUTRO,DEAD,,,,
other,60,20,0.5,30,3.75E-03,,EUTRO,0.8,,,,
other,60,10,0.5,30,DEAD,,EUTRO,DEAD,,,,
other,50,25,0.5,30,0.011870253,,EUTRO,2.6,,,,
other,50,50,0.5,30,1.55E-02,,EUTRO,3.5,,,,
other,50,45,0.5,30,1.55E-02,,EUTRO,3.5,,,,
